RK-2020,Team,Total Points,RK-2021,Team,Total Points,Change from Nov 2020 to Nov 2021,Improvement Ranking,Improvement Placement,,Country,World Cup Interest: (12/1/20 - 12/1/21)
72,Canada,1332,40,Canada,1462.32,130.32,1,32,,Afghanistan,23
10,Italy,1625,6,Italy,1740.77,115.77,2,4,,Åland Islands,37
7,Argentina,1642,5,Argentina,1750.51,108.51,3,2,,Albania,25
22,USA,1545,12,USA,1647.14,102.14,4,10,,Algeria,53
67,Saudi Arabia,1353,48,Saudi Arabia,1441.17,88.17,5,19,,American Samoa,6
4,England,1670,4,England,1755.52,85.52,6,0,,Andorra,34
3,Brazil,1743,2,Brazil,1826.35,83.35,7,1,,Angola,43
78,Panama,1311,63,Panama,1379.34,68.34,8,15,,Anguilla,40
29,IR Iran,1496,21,IR Iran,1557.58,61.58,9,8,,Antigua & Barbuda,21
134,Equatorial Guinea,1097,114,Equatorial Guinea,1156.78,59.78,10,20,,Argentina,65
6,Spain,1645,7,Spain,1704.75,59.75,11,-1,,Armenia,33
16,Switzerland,1586,13,Switzerland,1642.83,56.83,12,3,,Aruba,37
42,Czech Republic,1456,31,Czech Republic,1510.42,54.42,13,11,,Australia,12
30,Serbia,1495,23,Serbia,1547.38,52.38,14,7,,Austria,50
35,Morocco,1474,28,Morocco,1525.5,51.5,15,7,,Azerbaijan,15
1,Belgium,1780,1,Belgium,1828.45,48.45,16,0,,Bahamas,7
14,Netherlands,1609,10,Netherlands,1653.73,44.73,17,4,,Bahrain,28
59,Qatar,1387,51,Qatar,1431.01,44.01,18,8,,Bangladesh,54
38,Korea Republic,1465,33,Korea Republic,1507.24,42.24,19,5,,Barbados,15
12,Denmark,1614,9,Denmark,1654.54,40.54,20,3,,Belarus,13
56,Ecuador,1409,46,Ecuador,1448.74,39.74,21,10,,Belgium,37
25,Peru,1512,22,Peru,1551.15,39.15,22,3,,Belize,27
13,Germany,1610,11,Germany,1648.33,38.33,23,2,,Benin,60
48,Scotland,1436,38,Scotland,1471.82,35.82,24,10,,Bermuda,19
61,Côte d'Ivoire,1384,56,Côte d'Ivoire,1417.86,33.86,25,5,,Bhutan,43
135,Tanzania,1085,131,Tanzania,1118.76,33.76,26,4,,Bolivia,42
81,Cabo Verde,1306,73,Cabo Verde,1339.48,33.48,27,8,,Bosnia & Herzegovina,24
39,Russia,1461,34,Russia,1493.42,32.42,28,5,,Botswana,23
2,France,1755,3,France,1786.15,31.15,29,-1,,Brazil,37
120,Guinea-Bissau,1146,106,Guinea-Bissau,1177.14,31.14,30,14,,British Virgin Islands,16
20,Sweden,1558,18,Sweden,1588.26,30.26,31,2,,Brunei,21
