Years,Country ,GDP,Change in GDP,Change in GDP %
Previous Year,France - 2017,2438000000000,0,0
Previous Year,Germany - 2013,3733000000000,0,0
Previous Year,Spain - 2009,1486000000000,0,0
Previous Year,Italy - 2005,1858000000000,0,0
Previous Year,Brazil - 2001,559372000000,0,0
Previous Year,France - 1997,1453000000000,0,0
Previous Year,Brazil - 1993,437799000000,0,0
Previous Year,West Germany - 1989,1399000000000,0,0
Previous Year,Argentina - 1985,88417000000,0,0
Previous Year,Italy - 1981,420703000000,0,0
Previous Year,Argentina - 1977,56781000000,0,0
Previous Year,West Germany - 1973,398374000000,0,0
Previous Year,Brazil - 1969,37459000000,0,0
Champion Year,France - 2018,2471000000000,33000000000,1.354
Champion Year,Germany - 2014,3844000000000,111000000000,2.973
Champion Year,Spain - 2010,1421000000000,-65000000000,-4.374
Champion Year,Italy - 2006,1948000000000,90000000000,4.844
Champion Year,Brazil - 2002,507962000000,-51410000000,-9.191
Champion Year,France - 1998,1503000000000,50000000000,3.441
Champion Year,Brazil - 1994,558112000000,120313000000,27.481
Champion Year,West Germany - 1990,1772000000000,373000000000,26.662
Champion Year,Argentina - 1986,110934000000,22517000000,25.467
Champion Year,Italy - 1982,427273000000,6570000000,1.562
Champion Year,Argentina - 1978,58038000000,1257000000,2.214
Champion Year,West Germany - 1974,445303000000,46929000000,11.780
Champion Year,Brazil - 1970,42328000000,4869000000,12.998
Year After,France - 2019,2589000000000,151000000000,6.194
Year After,Germany - 2015,3356000000000,-377000000000,-10.099
Year After,Spain - 2011,1479000000000,-7000000000,-0.471
Year After,Italy - 2007,2210000000000,352000000000,18.945
Year After,Brazil - 2003,558320000000,-1052000000,-0.188
Year After,France - 1999,1493000000000,40000000000,2.753
Year After,Brazil - 1995,769305000000,331506000000,75.721
Year After,West Germany - 1991,1869000000000,470000000000,33.595
Year After,Argentina - 1987,111106000000,22689000000,25.661
Year After,Italy - 1983,443042000000,22339000000,5.310
Year After,Argentina - 1979,69252000000,12471000000,21.963
Year After,West Germany - 1975,490637000000,92263000000,23.160
Year After,Brazil - 1971,49204000000,11745000000,31.354
