World Cup Champion,Previous Year,World Cup Year,Year After,,Before to After %,Before to Win %,Win to After %
France - 2018,2438000000000,2471000000000,2589000000000,,6.19,1.35,4.78
Germany - 2014,3733000000000,3844000000000,3356000000000,,-10.10,2.97,-12.70
Spain - 2010,1486000000000,1421000000000,1479000000000,,-0.47,-4.37,4.08
Italy - 2006,1858000000000,1948000000000,2210000000000,,18.95,4.84,13.45
Brazil - 2002,559372000000,507962000000,558320000000,,-0.19,-9.19,9.91
France - 1998,1453000000000,1503000000000,1493000000000,,2.75,3.44,-0.67
Brazil - 1994,437799000000,558112000000,769305000000,,75.72,27.48,37.84
West Germany - 1990,1399000000000,1772000000000,1869000000000,,33.60,26.66,5.47
Argentina - 1986,88417000000,110934000000,111106000000,,25.66,25.47,0.16
Italy - 1982,420703000000,427273000000,443042000000,,5.31,1.56,3.69
Argentina - 1978,56781000000,58038000000,69252000000,,21.96,2.21,19.32
West Germany - 1974,398374000000,445303000000,490637000000,,23.16,11.78,10.18
Brazil - 1970,37459000000,42328000000,49204000000,,31.35,13.00,16.24
